author,title,degree,month_year,pdf,university
"Kasper Unn Weihe, Kristian Quirin Hansen, Peter Kanstrup Larsen",Linear Algebra in Futhark,MSc,February 2021,https://futhark-lang.org/student-projects/kristian-kasper-peter-project.pdf
Till Severin Grenzdörffer,"Accelerating Ocean Modelling: Adressing
performance bottlenecks of the ocean modelling framework Veros",MSc,January 2021,https://futhark-lang.org/student-projects/till-msc-project.pdf
Kristian Høi,"Parallel implementations of machine learning
algorithms: Gradient boosted decision trees",MSc,January 2021,https://futhark-lang.org/student-projects/kristian-msc-thesis.pdf
"Andreas Nicolaisen, Marco Aslak Persson","Implementing Single-Pass
Scan in the Futhark Compiler",MSc,November 2020,https://futhark-lang.org/student-projects/marco-andreas-scan.pdf
Duc Minh Tran,Multicore backend for Futhark,MSc,September 2020,https://futhark-lang.org/student-projects/duc-msc-thesis.pdf
Emil Un Weihe,Support Vector Machines in Futhark,MSc,September 2020,https://futhark-lang.org/student-projects/emil-msc-thesis.pdf
Michaël El Kharroubi,"Highly parallel algorithms on GPU with
Futhark: Practical case with block ciphers",BSc,August 2020,https://futhark-lang.org/student-projects/michael-bsc-thesis.pdf
"Johan Johansson, Ari von Nordenskjöld","Ray Tracing for Sensor
Simulation using Parallel Functional Programming",MSc,June 2020,https://futhark-lang.org/student-projects/johan-ari-msc-thesis.pdf
Ulrik Elmelund Petersen,"Optimizing the kNN algorithm for GPGPUs
in Futhark",BSc,June 2020,https://futhark-lang.org/student-projects/ulrik-bsc-thesis.pdf
"Mathias Friis Rasmussen, Jonas Kristensen, Jens Nissen-Juul Sørensen, Christian Dybdahl Troelsen","FutSpace - A Parallelizable
Implementation of the Voxel Space Rendering Algorithm",BSc,June 2020,https://futhark-lang.org/student-projects/futspace-bsc-thesis.pdf
"Ulrik Stuhr Larsen, Lotte Maria Bruun","A Language for Parallel
Generation of L-Systems",BSc,June 2020,https://futhark-lang.org/student-projects/lotte-ulrik-bsc-thesis.pdf
